epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9296,0.32209,2.02967,0.97396,0.02233,1,0.995,0.97538,0.37644,2.26311,0.46884,0.00064,0.00064,0.00064
2,57.8341,0.27536,0.76894,0.93462,0.02434,1,0.995,0.91584,0.34957,2.12689,0.91132,0.0011713,0.0011713,0.0011713
3,88.9753,0.26013,0.43332,0.93727,0.99973,1,0.995,0.98904,0.28543,0.86059,0.89102,0.00157192,0.00157192,0.00157192
4,115.241,0.21339,0.3025,0.93059,0.99989,1,0.995,0.97274,0.27398,0.47186,0.88033,0.001406,0.001406,0.001406
5,144.717,0.21568,0.25795,0.92924,0.9997,1,0.995,0.90749,0.22598,0.64333,0.87201,0.001208,0.001208,0.001208
6,173.912,0.19741,0.22322,0.9126,0.99984,1,0.995,0.98952,0.2219,0.62692,0.88227,0.00101,0.00101,0.00101
7,202.304,0.16761,0.19759,0.91362,0.99984,1,0.995,0.9711,0.24222,0.6213,0.88072,0.000812,0.000812,0.000812
8,233.803,0.15054,0.18071,0.89975,0.99985,1,0.995,0.97394,0.19411,0.51694,0.86935,0.000614,0.000614,0.000614
9,258.899,0.13578,0.15903,0.89898,0.99982,1,0.995,0.97204,0.20357,0.57371,0.88093,0.000416,0.000416,0.000416
10,286.593,0.11458,0.14663,0.90378,0.99976,1,0.995,0.97583,0.22447,0.64014,0.87943,0.000218,0.000218,0.000218
